video_id,K,t,D,entertainment_flag,education_flag,r,c,N
84,2,1.5647,1,1,0,5.25,0.001565,54
85,1,0.7446,1,0,1,1.5,0.000745,28
86,1,0.6335,1,0,1,1.5,0.000634,83
87,3,1.3757,1,1,0,4.5,0.001376,33
88,3,0.8055,1,1,0,4.5,0.000805,58
89,2,0.5,1,1,0,5.25,0.0005,27
90,3,0.8699,1,1,0,4.5,0.00087,21
91,2,1.7036,1,1,0,5.25,0.001704,55
92,3,1.0152,1,1,0,4.5,0.001015,22
93,2,0.5,1,1,0,5.25,0.0005,22
94,2,3.2616,2,1,0,3.5,0.003262,44
95,2,0.5,1,1,0,5.25,0.0005,29
96,3,0.7763,1,1,0,4.5,0.000776,57
97,2,0.6524,1,1,0,5.25,0.000652,133
98,1,1.4068,1,0,1,1.5,0.001407,22
99,1,2.1272,1,0,1,1.5,0.002127,64
100,4,3.7431,2,0,0,2.0,0.003743,20
101,4,0.595,1,0,0,3.0,0.000595,27
102,3,2.1809,1,1,0,4.5,0.002181,51
103,2,1.4755,1,1,0,5.25,0.001475,22
104,4,0.5,1,0,0,3.0,0.0005,59
105,3,8.1148,2,1,0,3.0,0.008115,92
106,3,0.5,1,1,0,4.5,0.0005,20
107,2,1.8453,1,1,0,5.25,0.001845,35
108,2,1.7916,1,1,0,5.25,0.001792,52
109,1,1.598,1,0,1,1.5,0.001598,24
110,4,0.7398,1,0,0,3.0,0.00074,32
111,3,2.7743,1,1,0,4.5,0.002774,36
112,2,0.5,1,1,0,5.25,0.0005,25
113,2,1.1358,1,1,0,5.25,0.001136,35
114,3,0.6902,1,1,0,4.5,0.00069,93
115,2,0.6162,1,1,0,5.25,0.000616,22
116,4,1.8625,1,0,0,3.0,0.001862,32
117,3,3.5631,2,1,0,3.0,0.003563,32
118,3,0.8606,1,1,0,4.5,0.000861,41
119,2,2.6481,1,1,0,5.25,0.002648,26
120,3,1.2749,1,1,0,4.5,0.001275,172
121,3,0.5,1,1,0,4.5,0.0005,36
122,3,0.9373,1,1,0,4.5,0.000937,42
123,1,0.8991,1,0,1,1.5,0.000899,109
124,2,0.6044,1,1,0,5.25,0.000604,23
125,1,1.862,1,0,1,1.5,0.001862,49
126,3,1.5339,1,1,0,4.5,0.001534,37
127,2,0.5,1,1,0,5.25,0.0005,33
128,1,0.5,1,0,1,1.5,0.0005,20
129,1,1.8549,1,0,1,1.5,0.001855,39
130,3,0.5368,1,1,0,4.5,0.000537,57
131,2,1.6408,1,1,0,5.25,0.001641,27
132,4,2.6487,1,0,0,3.0,0.002649,21
133,3,0.5,1,1,0,4.5,0.0005,33
134,2,0.5,1,1,0,5.25,0.0005,26
135,3,6.4726,2,1,0,3.0,0.006473,20
136,1,1.7241,1,0,1,1.5,0.001724,29
137,4,0.7976,1,0,0,3.0,0.000798,20
138,3,0.5,1,1,0,4.5,0.0005,96
139,3,0.7281,1,1,0,4.5,0.000728,67
140,1,0.5,1,0,1,1.5,0.0005,27
141,3,2.9346,1,1,0,4.5,0.002935,20
142,3,0.5579,1,1,0,4.5,0.000558,20
143,4,3.6208,2,0,0,2.0,0.003621,37
144,3,0.8126,1,1,0,4.5,0.000813,90
145,3,0.5,1,1,0,4.5,0.0005,37
146,2,0.792,1,1,0,5.25,0.000792,24
147,2,0.5,1,1,0,5.25,0.0005,20
148,3,1.0751,1,1,0,4.5,0.001075,248
149,2,1.0233,1,1,0,5.25,0.001023,45
150,1,2.7673,1,0,1,1.5,0.002767,20
151,3,0.5,1,1,0,4.5,0.0005,107
152,4,3.8768,2,0,0,2.0,0.003877,27
153,1,2.7559,1,0,1,1.5,0.002756,291
154,3,4.2427,2,1,0,3.0,0.004243,20
155,1,1.1508,1,0,1,1.5,0.001151,119
156,3,3.3436,2,1,0,3.0,0.003344,25
157,2,0.5,1,1,0,5.25,0.0005,62
158,3,2.4749,1,1,0,4.5,0.002475,23
159,3,0.561,1,1,0,4.5,0.000561,36
160,3,0.5,1,1,0,4.5,0.0005,37
161,1,0.5,1,0,1,1.5,0.0005,46
162,4,1.2198,1,0,0,3.0,0.00122,22
163,2,0.532,1,1,0,5.25,0.000532,20
164,1,1.7669,1,0,1,1.5,0.001767,76
165,3,0.5,1,1,0,4.5,0.0005,37
166,2,0.5,1,1,0,5.25,0.0005,23
167,3,4.7852,2,1,0,3.0,0.004785,62
168,3,2.995,1,1,0,4.5,0.002995,20
169,2,0.5,1,1,0,5.25,0.0005,32
170,4,1.2094,1,0,0,3.0,0.001209,20
171,2,3.3624,2,1,0,3.5,0.003362,20
172,3,1.8448,1,1,0,4.5,0.001845,28
173,2,1.4069,1,1,0,5.25,0.001407,29
174,4,3.6266,2,0,0,2.0,0.003627,22
175,2,0.5842,1,1,0,5.25,0.000584,21
176,1,1.2515,1,0,1,1.5,0.001251,20
177,2,1.1916,1,1,0,5.25,0.001192,41
178,4,0.9235,1,0,0,3.0,0.000923,74
179,4,0.8215,1,0,0,3.0,0.000821,44
180,3,1.3048,1,1,0,4.5,0.001305,36
181,4,1.2555,1,0,0,3.0,0.001256,1000
182,4,0.5,1,0,0,3.0,0.0005,43
183,3,2.7046,1,1,0,4.5,0.002705,20
184,2,0.5,1,1,0,5.25,0.0005,91
185,3,0.9752,1,1,0,4.5,0.000975,25
186,3,0.9029,1,1,0,4.5,0.000903,33
187,2,1.7354,1,1,0,5.25,0.001735,29
188,1,0.5,1,0,1,1.5,0.0005,36
189,3,2.9567,1,1,0,4.5,0.002957,20
190,2,0.6164,1,1,0,5.25,0.000616,50
191,4,4.1087,2,0,0,2.0,0.004109,104
192,2,0.752,1,1,0,5.25,0.000752,23
193,1,1.1552,1,0,1,1.5,0.001155,22
194,3,8.223,2,1,0,3.0,0.008223,64
195,2,0.9193,1,1,0,5.25,0.000919,31
196,2,4.1871,2,1,0,3.5,0.004187,58
197,3,1.2614,1,1,0,4.5,0.001261,60
198,4,1.8378,1,0,0,3.0,0.001838,31
199,2,1.301,1,1,0,5.25,0.001301,50
200,2,2.832,1,1,0,5.25,0.002832,25
201,3,0.6112,1,1,0,4.5,0.000611,34
202,4,0.5,1,0,0,3.0,0.0005,28
203,3,0.6405,1,1,0,4.5,0.000641,21
204,1,1.3403,1,0,1,1.5,0.00134,20
205,1,0.9727,1,0,1,1.5,0.000973,38
206,2,2.468,1,1,0,5.25,0.002468,20
207,1,4.4722,2,0,1,1.0,0.004472,24
208,3,0.5,1,1,0,4.5,0.0005,29
209,1,0.5823,1,0,1,1.5,0.000582,26
210,3,0.5,1,1,0,4.5,0.0005,20
211,3,9.2398,2,1,0,3.0,0.00924,28
212,3,1.6451,1,1,0,4.5,0.001645,873
213,2,1.96,1,1,0,5.25,0.00196,117
214,3,0.5,1,1,0,4.5,0.0005,21
215,3,1.2116,1,1,0,4.5,0.001212,33
216,3,2.0186,1,1,0,4.5,0.002019,50
217,1,0.9421,1,0,1,1.5,0.000942,20
218,1,3.5568,2,0,1,1.0,0.003557,55
219,4,12.2433,2,0,0,2.0,0.012243,23
220,2,0.5,1,1,0,5.25,0.0005,24
221,2,0.5,1,1,0,5.25,0.0005,131
222,3,0.5043,1,1,0,4.5,0.000504,20
223,3,6.0457,2,1,0,3.0,0.006046,91
224,4,3.4401,2,0,0,2.0,0.00344,29
225,2,1.0593,1,1,0,5.25,0.001059,38
226,4,1.2582,1,0,0,3.0,0.001258,55
227,1,0.5361,1,0,1,1.5,0.000536,25
228,3,2.954,1,1,0,4.5,0.002954,31
229,3,0.8296,1,1,0,4.5,0.00083,58
230,1,0.9353,1,0,1,1.5,0.000935,27
231,1,2.2299,1,0,1,1.5,0.00223,31
232,2,1.0052,1,1,0,5.25,0.001005,28
233,4,0.959,1,0,0,3.0,0.000959,20
234,3,1.226,1,1,0,4.5,0.001226,25
235,4,2.6872,1,0,0,3.0,0.002687,167
236,3,6.2943,2,1,0,3.0,0.006294,20
237,3,2.1785,1,1,0,4.5,0.002178,20
238,3,2.7087,1,1,0,4.5,0.002709,22
239,1,0.9933,1,0,1,1.5,0.000993,34
240,1,0.5977,1,0,1,1.5,0.000598,56
241,3,2.3329,1,1,0,4.5,0.002333,38
242,3,1.4396,1,1,0,4.5,0.00144,37
243,2,0.5,1,1,0,5.25,0.0005,344
244,3,0.8738,1,1,0,4.5,0.000874,24
245,3,1.1166,1,1,0,4.5,0.001117,20
246,4,0.7281,1,0,0,3.0,0.000728,20
247,3,5.3382,2,1,0,3.0,0.005338,116
248,2,1.9601,1,1,0,5.25,0.00196,30
249,2,4.789,2,1,0,3.5,0.004789,37
250,2,1.5787,1,1,0,5.25,0.001579,22
251,3,1.3159,1,1,0,4.5,0.001316,20
252,4,0.5,1,0,0,3.0,0.0005,37
253,3,1.2276,1,1,0,4.5,0.001228,59
254,2,1.229,1,1,0,5.25,0.001229,28
255,2,0.5,1,1,0,5.25,0.0005,28
256,3,0.7072,1,1,0,4.5,0.000707,32
257,3,0.878,1,1,0,4.5,0.000878,34
258,1,1.8342,1,0,1,1.5,0.001834,20
259,1,1.9242,1,0,1,1.5,0.001924,34
260,3,0.6783,1,1,0,4.5,0.000678,25
261,1,1.9387,1,0,1,1.5,0.001939,22
262,3,1.0111,1,1,0,4.5,0.001011,84
263,2,0.5,1,1,0,5.25,0.0005,25
264,1,0.7471,1,0,1,1.5,0.000747,43
265,4,3.5685,2,0,0,2.0,0.003568,50
266,2,0.5,1,1,0,5.25,0.0005,25
267,2,1.3578,1,1,0,5.25,0.001358,25
268,2,5.9204,2,1,0,3.5,0.00592,30
269,1,0.567,1,0,1,1.5,0.000567,34
270,1,1.2157,1,0,1,1.5,0.001216,22
271,1,0.5,1,0,1,1.5,0.0005,26
272,2,6.1742,2,1,0,3.5,0.006174,22
273,1,1.1161,1,0,1,1.5,0.001116,20
274,3,1.271,1,1,0,4.5,0.001271,33
275,3,4.6995,2,1,0,3.0,0.004699,30
276,2,2.3505,1,1,0,5.25,0.00235,103
277,2,0.5054,1,1,0,5.25,0.000505,45
278,3,0.635,1,1,0,4.5,0.000635,32
279,4,1.9899,1,0,0,3.0,0.00199,55
280,4,0.6499,1,0,0,3.0,0.00065,43
281,1,0.5,1,0,1,1.5,0.0005,20
282,2,1.1502,1,1,0,5.25,0.00115,20
283,2,0.5,1,1,0,5.25,0.0005,20
284,2,6.107,2,1,0,3.5,0.006107,31
285,3,1.4476,1,1,0,4.5,0.001448,70
286,2,0.5,1,1,0,5.25,0.0005,23
287,1,0.6032,1,0,1,1.5,0.000603,49
288,2,0.5,1,1,0,5.25,0.0005,29
289,3,0.5,1,1,0,4.5,0.0005,57
290,1,3.3517,2,0,1,1.0,0.003352,43
291,3,11.3015,2,1,0,3.0,0.011301,20
292,1,2.5081,1,0,1,1.5,0.002508,32
293,4,1.1064,1,0,0,3.0,0.001106,49
294,1,0.7876,1,0,1,1.5,0.000788,438
295,3,0.5,1,1,0,4.5,0.0005,20
296,4,9.5154,2,0,0,2.0,0.009515,32
297,4,1.0044,1,0,0,3.0,0.001004,20
298,3,10.0621,2,1,0,3.0,0.010062,20
299,3,4.8874,2,1,0,3.0,0.004887,21
300,3,0.5,1,1,0,4.5,0.0005,28
301,3,0.6233,1,1,0,4.5,0.000623,21
302,1,0.6213,1,0,1,1.5,0.000621,24
303,3,1.12,1,1,0,4.5,0.00112,21
304,3,1.1421,1,1,0,4.5,0.001142,29
305,4,24.2735,3,0,0,1.6,0.024274,28
306,3,0.5,1,1,0,4.5,0.0005,200
307,2,1.5252,1,1,0,5.25,0.001525,20
308,3,2.2471,1,1,0,4.5,0.002247,63
309,2,1.2112,1,1,0,5.25,0.001211,27
310,1,1.3544,1,0,1,1.5,0.001354,20
311,3,0.5,1,1,0,4.5,0.0005,20
312,2,1.3494,1,1,0,5.25,0.001349,21
313,2,2.0229,1,1,0,5.25,0.002023,20
314,2,1.6833,1,1,0,5.25,0.001683,20
315,2,2.1454,1,1,0,5.25,0.002145,26
316,2,4.9816,2,1,0,3.5,0.004982,20
317,2,3.096,2,1,0,3.5,0.003096,37
318,3,1.3027,1,1,0,4.5,0.001303,43
319,2,0.5,1,1,0,5.25,0.0005,20
320,4,0.6657,1,0,0,3.0,0.000666,34
321,4,0.9739,1,0,0,3.0,0.000974,80
322,3,1.5613,1,1,0,4.5,0.001561,20
323,2,0.7519,1,1,0,5.25,0.000752,20
324,3,0.5,1,1,0,4.5,0.0005,20
325,3,0.5,1,1,0,4.5,0.0005,31
326,3,0.5,1,1,0,4.5,0.0005,26
327,3,0.9591,1,1,0,4.5,0.000959,26
328,3,0.5,1,1,0,4.5,0.0005,32
329,3,0.5,1,1,0,4.5,0.0005,51
330,2,0.8181,1,1,0,5.25,0.000818,20
331,3,0.5,1,1,0,4.5,0.0005,38
332,2,1.7734,1,1,0,5.25,0.001773,1000
333,3,2.5431,1,1,0,4.5,0.002543,58
334,4,0.7003,1,0,0,3.0,0.0007,20
335,1,0.7836,1,0,1,1.5,0.000784,57
336,3,2.0763,1,1,0,4.5,0.002076,180
337,1,0.594,1,0,1,1.5,0.000594,25
338,3,0.5546,1,1,0,4.5,0.000555,42
339,1,4.0134,2,0,1,1.0,0.004013,107
340,4,2.9368,1,0,0,3.0,0.002937,53
341,1,2.2138,1,0,1,1.5,0.002214,73
342,4,3.0612,2,0,0,2.0,0.003061,27
343,3,0.5,1,1,0,4.5,0.0005,22
344,3,4.6973,2,1,0,3.0,0.004697,20
345,3,1.7954,1,1,0,4.5,0.001795,20
346,3,3.3332,2,1,0,3.0,0.003333,37
347,4,1.7866,1,0,0,3.0,0.001787,249
348,2,1.2739,1,1,0,5.25,0.001274,43
349,3,0.9211,1,1,0,4.5,0.000921,104
350,1,1.7512,1,0,1,1.5,0.001751,34
351,3,0.8882,1,1,0,4.5,0.000888,20
352,2,2.8893,1,1,0,5.25,0.002889,20
353,3,0.5,1,1,0,4.5,0.0005,23
354,3,0.7058,1,1,0,4.5,0.000706,269
355,3,9.3743,2,1,0,3.0,0.009374,20
356,3,0.6486,1,1,0,4.5,0.000649,38
357,3,0.9555,1,1,0,4.5,0.000955,47
358,3,0.5019,1,1,0,4.5,0.000502,20
359,3,1.6972,1,1,0,4.5,0.001697,22
360,3,0.5809,1,1,0,4.5,0.000581,24
361,4,1.0076,1,0,0,3.0,0.001008,44
362,1,2.8349,1,0,1,1.5,0.002835,492
363,1,0.6031,1,0,1,1.5,0.000603,73
364,1,2.6691,1,0,1,1.5,0.002669,77
365,3,2.7604,1,1,0,4.5,0.00276,26
366,2,3.4837,2,1,0,3.5,0.003484,36
367,3,1.3961,1,1,0,4.5,0.001396,20
368,3,31.013,3,1,0,2.4,0.031013,41
369,2,3.4823,2,1,0,3.5,0.003482,32
370,4,1.6787,1,0,0,3.0,0.001679,93
371,3,0.5052,1,1,0,4.5,0.000505,94
372,2,1.1009,1,1,0,5.25,0.001101,20
373,2,5.0504,2,1,0,3.5,0.00505,62
374,2,6.7038,2,1,0,3.5,0.006704,20
375,2,5.32,2,1,0,3.5,0.00532,41
376,1,2.66,1,0,1,1.5,0.00266,195
377,4,0.5,1,0,0,3.0,0.0005,25
378,2,1.9745,1,1,0,5.25,0.001974,29
379,2,0.5,1,1,0,5.25,0.0005,23
380,3,0.5,1,1,0,4.5,0.0005,21
381,3,1.5408,1,1,0,4.5,0.001541,72
382,4,2.0469,1,0,0,3.0,0.002047,101
383,3,2.9937,1,1,0,4.5,0.002994,23
384,3,1.9943,1,1,0,4.5,0.001994,26
385,2,2.0642,1,1,0,5.25,0.002064,25
386,4,0.5,1,0,0,3.0,0.0005,91
387,3,1.0922,1,1,0,4.5,0.001092,28
388,4,0.5,1,0,0,3.0,0.0005,72
389,1,0.5,1,0,1,1.5,0.0005,20
390,4,2.5441,1,0,0,3.0,0.002544,78
391,3,0.5712,1,1,0,4.5,0.000571,20
392,1,2.9027,1,0,1,1.5,0.002903,56
393,3,3.6748,2,1,0,3.0,0.003675,50
394,3,0.653,1,1,0,4.5,0.000653,31
395,1,2.189,1,0,1,1.5,0.002189,32
396,3,0.6262,1,1,0,4.5,0.000626,20
397,3,0.5,1,1,0,4.5,0.0005,32
398,2,1.3723,1,1,0,5.25,0.001372,595
399,3,0.7575,1,1,0,4.5,0.000758,20
400,2,0.7812,1,1,0,5.25,0.000781,36
401,2,8.7451,2,1,0,3.5,0.008745,35
402,4,0.5,1,0,0,3.0,0.0005,24
403,3,1.7789,1,1,0,4.5,0.001779,20
404,1,0.5,1,0,1,1.5,0.0005,34
405,4,3.0084,2,0,0,2.0,0.003008,23
406,4,1.6349,1,0,0,3.0,0.001635,27
407,2,1.7727,1,1,0,5.25,0.001773,161
408,3,0.5,1,1,0,4.5,0.0005,21
409,1,0.5641,1,0,1,1.5,0.000564,25
410,4,3.0661,2,0,0,2.0,0.003066,24
411,3,7.1274,2,1,0,3.0,0.007127,110
412,3,1.961,1,1,0,4.5,0.001961,105
413,1,0.5,1,0,1,1.5,0.0005,42
414,4,1.7025,1,0,0,3.0,0.001702,58
415,1,13.7442,2,0,1,1.0,0.013744,169
416,2,1.3439,1,1,0,5.25,0.001344,144
417,1,5.233,2,0,1,1.0,0.005233,20
418,3,0.5786,1,1,0,4.5,0.000579,34
419,2,1.1631,1,1,0,5.25,0.001163,23
420,4,2.254,1,0,0,3.0,0.002254,50
421,3,1.8048,1,1,0,4.5,0.001805,21
422,1,0.5637,1,0,1,1.5,0.000564,63
423,1,0.5399,1,0,1,1.5,0.00054,34
424,1,3.259,2,0,1,1.0,0.003259,21
425,3,3.9936,2,1,0,3.0,0.003994,20
426,3,5.503,2,1,0,3.0,0.005503,27
427,2,7.3675,2,1,0,3.5,0.007367,136
428,3,1.3879,1,1,0,4.5,0.001388,30
429,1,0.8886,1,0,1,1.5,0.000889,40
430,3,4.6839,2,1,0,3.0,0.004684,24
431,4,2.4749,1,0,0,3.0,0.002475,44
432,3,0.5,1,1,0,4.5,0.0005,49
433,3,0.5,1,1,0,4.5,0.0005,74
434,3,1.9839,1,1,0,4.5,0.001984,21
435,1,1.016,1,0,1,1.5,0.001016,25
436,2,1.1814,1,1,0,5.25,0.001181,26
437,1,3.5455,2,0,1,1.0,0.003546,23
438,3,2.5914,1,1,0,4.5,0.002591,76
439,3,4.5861,2,1,0,3.0,0.004586,69
440,3,0.5,1,1,0,4.5,0.0005,26
441,4,1.5629,1,0,0,3.0,0.001563,216
442,2,2.4299,1,1,0,5.25,0.00243,20
443,3,0.5,1,1,0,4.5,0.0005,62
444,2,0.6302,1,1,0,5.25,0.00063,20
445,2,0.5234,1,1,0,5.25,0.000523,46
446,3,1.2397,1,1,0,4.5,0.00124,33
447,4,6.178,2,0,0,2.0,0.006178,25
448,3,9.1682,2,1,0,3.0,0.009168,47
449,1,0.5373,1,0,1,1.5,0.000537,131
450,3,2.0538,1,1,0,4.5,0.002054,20
451,1,2.1211,1,0,1,1.5,0.002121,32
452,4,1.7874,1,0,0,3.0,0.001787,21
453,3,1.8078,1,1,0,4.5,0.001808,56
454,2,1.6436,1,1,0,5.25,0.001644,44
455,1,6.5582,2,0,1,1.0,0.006558,20
456,2,3.6532,2,1,0,3.5,0.003653,22
457,4,0.5,1,0,0,3.0,0.0005,37
458,3,2.6882,1,1,0,4.5,0.002688,33
459,3,2.961,1,1,0,4.5,0.002961,77
460,3,1.6622,1,1,0,4.5,0.001662,48
461,3,3.7606,2,1,0,3.0,0.003761,21
462,1,1.4641,1,0,1,1.5,0.001464,22
463,4,1.4823,1,0,0,3.0,0.001482,32
464,2,1.3694,1,1,0,5.25,0.001369,25
465,3,0.5,1,1,0,4.5,0.0005,34
466,3,1.1194,1,1,0,4.5,0.001119,24
467,3,0.6218,1,1,0,4.5,0.000622,20
468,4,0.5,1,0,0,3.0,0.0005,21
469,1,5.0894,2,0,1,1.0,0.005089,67
470,3,2.0084,1,1,0,4.5,0.002008,107
471,2,1.1774,1,1,0,5.25,0.001177,28
472,3,0.6896,1,1,0,4.5,0.00069,25
473,1,1.6312,1,0,1,1.5,0.001631,28
474,1,3.2693,2,0,1,1.0,0.003269,39
475,2,0.5306,1,1,0,5.25,0.000531,22
476,2,1.2072,1,1,0,5.25,0.001207,22
477,2,2.8899,1,1,0,5.25,0.00289,25
478,3,0.5,1,1,0,4.5,0.0005,90
479,3,1.1452,1,1,0,4.5,0.001145,21
480,2,0.7897,1,1,0,5.25,0.00079,65
481,2,1.0611,1,1,0,5.25,0.001061,20
482,2,0.7346,1,1,0,5.25,0.000735,30
483,3,1.392,1,1,0,4.5,0.001392,29
484,2,8.3043,2,1,0,3.5,0.008304,41
485,1,0.8774,1,0,1,1.5,0.000877,60
486,2,1.6239,1,1,0,5.25,0.001624,33
487,3,8.9164,2,1,0,3.0,0.008916,29
488,2,0.6999,1,1,0,5.25,0.0007,32
489,3,7.4471,2,1,0,3.0,0.007447,26
490,3,1.2195,1,1,0,4.5,0.00122,102
491,3,7.2069,2,1,0,3.0,0.007207,111
492,3,2.5686,1,1,0,4.5,0.002569,30
493,3,1.6491,1,1,0,4.5,0.001649,33
494,2,1.136,1,1,0,5.25,0.001136,77
495,3,0.6499,1,1,0,4.5,0.00065,60
496,3,1.3086,1,1,0,4.5,0.001309,34
497,2,2.9758,1,1,0,5.25,0.002976,815
498,3,1.1973,1,1,0,4.5,0.001197,25
499,2,0.8838,1,1,0,5.25,0.000884,56
500,3,0.944,1,1,0,4.5,0.000944,64
501,3,3.2727,2,1,0,3.0,0.003273,22
502,4,4.1301,2,0,0,2.0,0.00413,34
503,4,0.6225,1,0,0,3.0,0.000623,20
504,3,0.6216,1,1,0,4.5,0.000622,44
505,3,1.7727,1,1,0,4.5,0.001773,104
506,3,5.5883,2,1,0,3.0,0.005588,50
507,2,3.8158,2,1,0,3.5,0.003816,39
508,3,0.5,1,1,0,4.5,0.0005,20
509,3,0.9315,1,1,0,4.5,0.000932,30
510,1,0.5,1,0,1,1.5,0.0005,21
511,1,0.9283,1,0,1,1.5,0.000928,23
512,3,6.0349,2,1,0,3.0,0.006035,21
513,1,0.5,1,0,1,1.5,0.0005,104
514,2,0.5,1,1,0,5.25,0.0005,54
515,2,0.5297,1,1,0,5.25,0.00053,49
516,2,1.6168,1,1,0,5.25,0.001617,31
517,2,2.2567,1,1,0,5.25,0.002257,20
518,3,1.8787,1,1,0,4.5,0.001879,36
519,1,3.9308,2,0,1,1.0,0.003931,84
520,3,0.5,1,1,0,4.5,0.0005,20
521,4,3.9808,2,0,0,2.0,0.003981,88
522,2,0.8879,1,1,0,5.25,0.000888,25
523,2,2.521,1,1,0,5.25,0.002521,20
524,3,0.5,1,1,0,4.5,0.0005,120
525,1,1.2191,1,0,1,1.5,0.001219,25
526,2,1.5364,1,1,0,5.25,0.001536,20
527,4,3.8532,2,0,0,2.0,0.003853,20
528,4,0.5,1,0,0,3.0,0.0005,23
529,3,1.2509,1,1,0,4.5,0.001251,20
530,2,0.5,1,1,0,5.25,0.0005,28
531,3,2.011,1,1,0,4.5,0.002011,32
532,3,2.6389,1,1,0,4.5,0.002639,396
533,2,4.3943,2,1,0,3.5,0.004394,26
534,3,0.7104,1,1,0,4.5,0.00071,24
535,1,3.066,2,0,1,1.0,0.003066,38
536,2,4.7306,2,1,0,3.5,0.004731,55
537,3,0.5,1,1,0,4.5,0.0005,44
538,2,2.2378,1,1,0,5.25,0.002238,115
539,2,3.1634,2,1,0,3.5,0.003163,21
540,3,0.9365,1,1,0,4.5,0.000937,44
541,4,0.5,1,0,0,3.0,0.0005,84
