user_id,age,I,T,R,K,A,E
295,12.3,1,54,22.1,27,16,5
296,15.6,2,41,40.6,20,12,4
297,15.9,2,55,34.6,27,16,5
298,15.9,2,46,41.4,23,13,4
299,12.8,1,51,18.8,25,15,5
300,16.3,2,38,34.2,19,11,3
301,12.8,1,50,28.5,25,15,5
302,12.5,1,44,20.2,22,13,4
303,16.2,2,65,29.9,32,19,6
304,15.6,2,63,28.2,31,18,6
305,16,2,32,30.7,16,9,3
306,16.5,2,37,47.2,18,10,3
307,15.4,2,69,38.8,34,20,6
308,15,2,56,41.1,28,16,5
309,15.9,2,63,29.5,31,18,6
310,17.2,2,55,33.5,27,16,5
311,13.3,1,44,24.6,22,13,4
312,15.3,2,63,22.3,31,18,6
313,15.7,2,50,50.3,25,15,5
314,13.1,1,45,21.9,22,13,4
315,15.3,2,70,34,35,21,7
316,15.5,2,57,39.2,28,16,5
317,12.5,1,56,24,28,16,5
318,12.7,1,58,32.1,29,17,5
319,15.9,2,49,23.8,24,14,4
320,12.6,1,53,15.9,26,15,5
321,16,2,77,27.3,38,22,7
322,15.6,2,59,44.1,29,17,5
323,15.8,2,50,33.7,25,15,5
324,16.1,2,39,35.8,19,11,3
325,15.9,2,94,46,47,28,9
326,15.8,2,60,20.1,30,18,6
327,13.1,1,41,22.4,20,12,4
328,16.3,2,60,37.9,30,18,6
329,15.3,2,44,41.8,22,13,4
330,15.5,2,90,29.5,45,27,9
331,13,1,48,16.7,24,14,4
332,15.6,2,63,41.2,31,18,6
333,12.4,1,52,12.1,26,15,5
334,12.3,1,28,13.5,14,8,2
335,13.4,1,45,14.6,22,13,4
336,12.7,1,44,20,22,13,4
337,15.5,2,65,30.2,32,19,6
338,12.7,1,49,25.5,24,14,4
339,12.9,1,47,16.1,23,13,4
340,12.5,1,32,12.6,16,9,3
341,12.7,1,34,11.9,17,10,3
342,16,2,42,36.4,21,12,4
343,16.2,2,44,33.3,22,13,4
344,12.8,1,38,13.4,19,11,3
345,15.8,2,47,38.1,23,13,4
346,12.6,1,49,21.1,24,14,4
347,13,1,34,19.7,17,10,3
348,16.1,2,13,35.2,6,3,1
349,15.4,2,54,29.5,27,16,5
350,16,2,56,55.2,28,16,5
351,15.8,2,66,27.3,33,19,6
352,13.1,1,43,29.6,21,12,4
353,16.2,2,63,36.1,31,18,6
354,16.1,2,58,28.6,29,17,5
355,14,1,33,26.2,16,9,3
356,15.5,2,56,35.3,28,16,5
357,12.7,1,54,22.7,27,16,5
358,15.8,2,71,43.2,35,21,7
359,12.8,1,40,16.3,20,12,4
360,15.7,2,56,30.6,28,16,5
361,16.3,2,55,29.2,27,16,5
362,12.6,1,43,17.2,21,12,4
363,16.3,2,50,39.5,25,15,5
364,15.8,2,85,35.4,42,25,8
365,16.8,2,71,42.1,35,21,7
366,15.8,2,72,20.7,36,21,7
367,13.5,1,53,15,26,15,5
368,15.8,2,62,30.6,31,18,6
369,13.2,1,47,20.2,23,13,4
370,12.4,1,44,22.7,22,13,4
371,16.6,2,77,38.1,38,22,7
372,13.2,1,42,13.7,21,12,4
373,15.2,2,64,42.5,32,19,6
374,15.5,2,43,39.5,21,12,4
375,16.1,2,62,47,31,18,6
376,12.9,1,28,22.5,14,8,2
377,15.4,2,55,47.4,27,16,5
378,15.1,2,64,32.1,32,19,6
379,16,2,49,35.6,24,14,4
380,13.2,1,37,24.7,18,10,3
381,12.7,1,63,23,31,18,6
382,13.1,1,46,17.8,23,13,4
383,12.8,1,55,19,27,16,5
384,16.8,2,63,56.7,31,18,6
385,15.9,2,59,46.5,29,17,5
386,15.9,2,35,37.5,17,10,3
387,12.7,1,43,17.6,21,12,4
388,15.7,2,40,49.1,20,12,4
389,13.3,1,44,20,22,13,4
390,12.7,1,47,10.6,23,13,4
391,16.3,2,69,29.8,34,20,6
392,12.9,1,64,19.3,32,19,6
393,15.9,2,65,34.9,32,19,6
394,13.9,1,42,18.8,21,12,4
395,12.7,1,34,30.3,17,10,3
396,17.3,2,53,36.4,26,15,5
397,15.9,2,39,41.1,19,11,3
398,12.9,1,43,29.1,21,12,4
399,16.6,2,60,33.7,30,18,6
400,13.2,1,32,25.9,16,9,3
401,16.2,2,64,32.2,32,19,6
402,13.1,1,44,17.8,22,13,4
403,12.4,1,49,19.6,24,14,4
404,12.7,1,50,25.3,25,15,5
405,15.3,2,76,33.7,38,22,7
406,12.4,1,47,28,23,13,4
407,16.1,2,48,39.2,24,14,4
408,16.2,2,88,31.1,44,26,8
409,12.4,1,40,24.1,20,12,4
410,15.8,2,63,25.3,31,18,6
411,16,2,53,28.8,26,15,5
412,16.3,2,50,40.4,25,15,5
413,13,1,55,22.4,27,16,5
414,12.8,1,34,17.3,17,10,3
415,12.5,1,55,30.1,27,16,5
416,12.3,1,52,28.9,26,15,5
417,13.4,1,39,19.6,19,11,3
418,15.5,2,22,30.6,11,6,2
419,15.2,2,68,38.9,34,20,6
420,12.3,1,41,10.8,20,12,4
421,16,2,71,27,35,21,7
422,15.8,2,49,54.9,24,14,4
423,15.8,2,65,53.2,32,19,6
424,12.6,1,35,23.9,17,10,3
425,15.4,2,49,21.1,24,14,4
426,16.1,2,74,29.2,37,22,7
427,13.1,1,29,15.3,14,8,2
428,15.9,2,26,35.3,13,7,2
429,16.1,2,37,18,18,10,3
430,12.8,1,40,16.6,20,12,4
431,13.4,1,45,24.4,22,13,4
432,15.6,2,78,39.2,39,23,7
433,12.7,1,39,20.9,19,11,3
434,12.8,1,57,24.3,28,16,5
435,12.2,1,39,14.8,19,11,3
436,12.6,1,50,26,25,15,5
437,15.6,2,59,42.1,29,17,5
438,15.3,2,66,21.8,33,19,6
439,15.5,2,62,44.3,31,18,6
440,15.5,2,60,49,30,18,6
441,13.5,1,38,19.8,19,11,3
442,16.3,2,81,45.4,40,24,8
443,12.8,1,35,29.9,17,10,3
444,13.1,1,35,20,17,10,3
445,15.8,2,73,33.5,36,21,7
446,15.4,2,65,38.5,32,19,6
447,12.5,1,48,27,24,14,4
448,15.8,2,51,33.4,25,15,5
449,15.5,2,39,37.6,19,11,3
450,15.8,2,58,34.3,29,17,5
451,12.4,1,43,17.6,21,12,4
452,16,2,63,24.9,31,18,6
453,16.6,2,67,40,33,19,6
454,15.6,2,53,42.7,26,15,5
455,16.6,2,47,55.6,23,13,4
456,15.8,2,63,44.6,31,18,6
457,13.3,1,38,16.2,19,11,3
458,15.5,2,60,43.4,30,18,6
459,12.6,1,41,23,20,12,4
460,17.1,2,43,36.8,21,12,4
461,12.3,1,50,28.1,25,15,5
462,15.6,2,80,30.9,40,24,8
463,15.6,2,68,28.6,34,20,6
464,16.4,2,73,38.1,36,21,7
465,15.2,2,56,38.2,28,16,5
466,12.8,1,47,25.3,23,13,4
467,12.4,1,31,19.7,15,9,3
468,15.4,2,91,40.2,45,27,9
469,15.6,2,73,29.6,36,21,7
470,15.4,2,64,43.3,32,19,6
471,15.5,2,72,33.5,36,21,7
472,12.9,1,43,14.4,21,12,4
473,12.9,1,55,17.4,27,16,5
474,12.5,1,59,30.2,29,17,5
475,12.5,1,46,25,23,13,4
476,12.8,1,58,12.9,29,17,5
477,15.8,2,51,35.1,25,15,5
478,15.5,2,46,39.9,23,13,4
479,12.7,1,49,23.1,24,14,4
480,12.6,1,61,18.7,30,18,6
481,16.2,2,59,44,29,17,5
482,16.4,2,42,35.2,21,12,4
483,15.6,2,74,42.7,37,22,7
484,12.7,1,66,14.8,33,19,6
485,12.6,1,37,12.5,18,10,3
486,12.3,1,43,14.9,21,12,4
487,12.5,1,51,25.5,25,15,5
488,12.1,1,37,20.2,18,10,3
489,15.9,2,35,27,17,10,3
490,15.5,2,70,43.9,35,21,7
491,12.4,1,54,18.4,27,16,5
492,16.1,2,59,35.1,29,17,5
493,12.9,1,35,6.9,17,10,3
494,16.9,2,65,22.5,32,19,6
495,15.3,2,53,39.8,26,15,5
496,15.3,2,69,46,34,20,6
497,15.3,2,68,30.5,34,20,6
498,13.3,1,25,17,12,7,2
499,16.8,2,56,55.3,28,16,5
500,12.5,1,36,17.9,18,10,3
501,16.3,2,52,40.1,26,15,5
502,13,1,44,13.2,22,13,4
503,15.3,2,51,22.9,25,15,5
504,13,1,53,10.3,26,15,5
505,13.2,1,56,18,28,16,5
506,13.1,1,27,18.7,13,7,2
507,16.6,2,52,40.7,26,15,5
508,15.5,2,55,60.4,27,16,5
509,13.1,1,38,11.7,19,11,3
510,13.3,1,30,19.9,15,9,3
511,16.5,2,59,40.1,29,17,5
512,15.4,2,47,44.5,23,13,4
513,13.5,1,41,12.8,20,12,4
514,13.9,1,48,17.6,24,14,4
515,16.6,2,53,45.4,26,15,5
516,15.7,2,56,28.3,28,16,5
517,15.7,2,63,40.4,31,18,6
518,12.4,1,35,22.9,17,10,3
519,12.4,1,52,17.3,26,15,5
520,15.4,2,70,48,35,21,7
521,15.1,2,44,29.4,22,13,4
522,15.6,2,72,29.1,36,21,7
523,13.3,1,47,14.8,23,13,4
524,16.1,2,56,35.4,28,16,5
525,16.1,2,69,29.2,34,20,6
526,15.7,2,68,45.2,34,20,6
527,16.1,2,39,36.4,19,11,3
528,12.7,1,34,10.6,17,10,3
529,15.5,2,50,37.3,25,15,5
530,13,1,44,26.4,22,13,4
531,15.3,2,86,33,43,25,8
532,16,2,87,38.8,43,25,8
533,16.4,2,54,22.3,27,16,5
534,16.3,2,64,32.8,32,19,6
535,15.7,2,37,49.2,18,10,3
536,15.9,2,73,34.9,36,21,7
537,15.6,2,63,54.6,31,18,6
538,12.4,1,44,25.4,22,13,4
539,15.9,2,57,42.2,28,16,5
540,13.4,1,52,17.4,26,15,5
541,15.6,2,61,32.4,30,18,6
542,16,2,69,23.8,34,20,6
543,15.9,2,77,42.5,38,22,7
544,12.8,1,44,17.9,22,13,4
545,12.5,1,27,22.8,13,7,2
546,16.1,2,68,38.9,34,20,6
547,12.2,1,21,23.6,10,6,2
548,15.1,2,34,19,17,10,3
549,16,2,28,24.4,14,8,2
550,12.3,1,49,22.5,24,14,4
551,12.4,1,35,14.5,17,10,3
552,15.8,2,53,34.5,26,15,5
553,15.7,2,47,38.2,23,13,4
554,12.2,1,40,12.1,20,12,4
555,15.3,2,89,27.5,44,26,8
556,13,1,46,12.4,23,13,4
557,16,2,36,39.4,18,10,3
558,12.3,1,50,31.2,25,15,5
559,12.9,1,45,24.2,22,13,4
560,12.8,1,29,15.5,14,8,2
561,16.3,2,44,50.3,22,13,4
562,15.8,2,59,33.6,29,17,5
563,16.3,2,39,37.8,19,11,3
564,15.3,2,66,33.7,33,19,6
565,12.8,1,40,19.5,20,12,4
566,15.8,2,75,32.6,37,22,7
567,15.2,2,68,26.5,34,20,6
568,16.3,2,63,37.9,31,18,6
569,13.3,1,44,20.7,22,13,4
570,15.2,2,50,27.1,25,15,5
571,15.6,2,48,40.6,24,14,4
572,16.3,2,42,16.2,21,12,4
573,15.8,2,50,24.4,25,15,5
574,12.4,1,37,24.1,18,10,3
575,13.4,1,49,15.3,24,14,4
576,12.3,1,43,16.2,21,12,4
577,12.7,1,48,15.1,24,14,4
578,15.9,2,34,27.1,17,10,3
579,17.2,2,63,46.3,31,18,6
580,12.6,1,41,24.2,20,12,4
581,12.7,1,37,21.3,18,10,3
582,12.6,1,35,20.4,17,10,3
583,16.5,2,61,34.6,30,18,6
584,12.3,1,24,11.3,12,7,2
585,16.3,2,57,45.5,28,16,5
586,15.8,2,68,28.8,34,20,6
587,15.9,2,53,30.2,26,15,5
588,12.5,1,44,16.3,22,13,4
589,16,2,79,42.9,39,23,7
590,12.5,1,32,24.4,16,9,3
591,15.5,2,77,36.6,38,22,7
592,12.3,1,48,20.7,24,14,4
593,15.2,2,71,30,35,21,7
594,12.1,1,27,27.4,13,7,2
595,16.2,2,49,12.8,24,14,4
596,13.1,1,60,15.3,30,18,6
597,16,2,48,33.5,24,14,4
598,15.4,2,97,39.6,48,28,9
599,12.9,1,50,24,25,15,5
600,15.4,2,40,26.3,20,12,4
601,12.5,1,45,27.6,22,13,4
602,15.2,2,45,37.6,22,13,4
603,15.7,2,49,31.2,24,14,4
604,13.5,1,30,14.8,15,9,3
605,16,2,45,34.6,22,13,4
606,12.9,1,59,11.6,29,17,5
607,13.1,1,43,15.9,21,12,4
608,13.5,1,43,20,21,12,4
609,15.9,2,54,30.3,27,16,5
610,16.1,2,78,34.7,39,23,7
611,12.2,1,38,15.2,19,11,3
612,15.8,2,53,28.2,26,15,5
613,15.8,2,64,36.2,32,19,6
614,12.9,1,46,27.9,23,13,4
615,15.8,2,65,38.3,32,19,6
616,12.9,1,65,19.3,32,19,6
617,16.4,2,72,35.4,36,21,7
618,16.7,2,81,41.7,40,24,8
619,12.8,1,51,19.1,25,15,5
620,12.5,1,33,22,16,9,3
621,16.5,2,44,33.8,22,13,4
622,15.8,2,54,38.7,27,16,5
623,16.5,2,40,32,20,12,4
624,16.2,2,45,40.7,22,13,4
625,15.4,2,59,26.9,29,17,5
626,12.3,1,44,25.1,22,13,4
627,15,2,65,35,32,19,6
628,15.9,2,48,42.4,24,14,4
629,15.7,2,72,35.6,36,21,7
630,15.8,2,90,29.2,45,27,9
631,12.8,1,55,15.3,27,16,5
632,15.3,2,84,50.4,42,25,8
633,12.7,1,52,12.9,26,15,5
634,13.3,1,65,16.2,32,19,6
635,15.6,2,61,21.8,30,18,6
636,15.8,2,49,19.2,24,14,4
637,12.9,1,30,15.9,15,9,3
638,15.7,2,83,36.4,41,24,8
639,12.3,1,38,15.1,19,11,3
640,13.2,1,68,21.5,34,20,6
641,13.1,1,37,16.7,18,10,3
642,15.8,2,61,42.4,30,18,6
643,15.4,2,47,25.5,23,13,4
644,12.8,1,48,18.9,24,14,4
645,12.5,1,43,24.5,21,12,4
646,13.5,1,49,16.7,24,14,4
647,16.6,2,61,45.7,30,18,6
648,16.1,2,30,42.4,15,9,3
649,12.6,1,33,22,16,9,3
650,15.9,2,63,54.3,31,18,6
651,15.9,2,43,34.3,21,12,4
652,15.9,2,31,36.7,15,9,3
653,12.3,1,45,16.1,22,13,4
654,12.4,1,62,23.1,31,18,6
655,16.3,2,28,41.2,14,8,2
656,12.7,1,37,13.3,18,10,3
657,15.7,2,85,33.1,42,25,8
658,12.3,1,46,20,23,13,4
659,16.3,2,78,37.3,39,23,7
660,16.4,2,36,38,18,10,3
661,12.2,1,41,25.4,20,12,4
662,12.4,1,55,13.7,27,16,5
663,16.2,2,49,39.6,24,14,4
664,15.5,2,61,51.1,30,18,6
665,15.2,2,52,28.9,26,15,5
666,12.7,1,32,25,16,9,3
667,16.4,2,72,47.9,36,21,7
668,12.6,1,40,24.5,20,12,4
669,16.6,2,40,36.4,20,12,4
670,12.1,1,41,28.1,20,12,4
671,15.4,2,50,25.7,25,15,5
672,15.6,2,80,25.3,40,24,8
673,15.8,2,80,37.5,40,24,8
674,16.3,2,50,34.7,25,15,5
675,15.7,2,40,26.1,20,12,4
676,16.5,2,58,32.8,29,17,5
677,12.6,1,40,19.1,20,12,4
678,16.5,2,55,32.8,27,16,5
679,12.7,1,36,10.3,18,10,3
680,16,2,60,39.6,30,18,6
681,13.5,1,41,20,20,12,4
682,12.3,1,46,15.8,23,13,4
683,13.1,1,23,24.5,11,6,2
684,12.8,1,54,16.8,27,16,5
685,13.2,1,44,21.2,22,13,4
686,15.7,2,65,52.6,32,19,6
687,15.1,2,52,41.2,26,15,5
688,15.7,2,91,36,45,27,9
689,12.3,1,55,30,27,16,5
690,12.7,1,48,20.7,24,14,4
691,15.7,2,68,30.5,34,20,6
692,15.8,2,79,26.6,39,23,7
693,12.4,1,30,16.7,15,9,3
694,15.9,2,77,30.6,38,22,7
695,16.6,2,73,60.7,36,21,7
696,15.6,2,50,39.1,25,15,5
697,12.9,1,60,19.6,30,18,6
698,15.8,2,34,23.4,17,10,3
699,16.2,2,53,37.9,26,15,5
700,12.5,1,56,13.8,28,16,5
701,13.7,1,66,18.4,33,19,6
702,12.5,1,44,27.4,22,13,4
703,12.5,1,51,20.4,25,15,5
704,16.1,2,64,26,32,19,6
705,16.2,2,86,33,43,25,8
706,12.5,1,37,24.3,18,10,3
707,12.2,1,47,21.7,23,13,4
708,16.3,2,55,31.3,27,16,5
709,15.5,2,48,48,24,14,4
710,16.1,2,71,38.7,35,21,7
